"Topic","Language","SeedQuery","AnchorRepo","AnchorRank","AnchorScore","AnchorOutput","FinalMatches","QualifiedCount","FinalCsv","RankedCsv"
"computer-vision","java","topic:computer-vision language:java stars:>=1000","haifengl/smile","2","1984.22","./runs/2026-05-02-batch/computer-vision-java/haifengl-smile","30","0","./runs/2026-05-02-batch/computer-vision-java/haifengl-smile/30_Matches.csv","./runs/2026-05-02-batch/computer-vision-java/haifengl-smile/ranked_matches.csv"
"computer-vision","java","topic:computer-vision language:java stars:>=1000","exadel-inc/CompreFace","3","1944.39","./runs/2026-05-02-batch/computer-vision-java/exadel-inc-compreface","30","0","./runs/2026-05-02-batch/computer-vision-java/exadel-inc-compreface/30_Matches.csv","./runs/2026-05-02-batch/computer-vision-java/exadel-inc-compreface/ranked_matches.csv"
"llm","python","topic:llm language:python stars:>=1000","huggingface/transformers","1","2005","./runs/2026-05-02-batch/llm-python/huggingface-transformers","30","8","./runs/2026-05-02-batch/llm-python/huggingface-transformers/30_Matches.csv","./runs/2026-05-02-batch/llm-python/huggingface-transformers/ranked_matches.csv"
"llm","python","topic:llm language:python stars:>=1000","ray-project/ray","2","1984.51","./runs/2026-05-02-batch/llm-python/ray-project-ray","30","6","./runs/2026-05-02-batch/llm-python/ray-project-ray/30_Matches.csv","./runs/2026-05-02-batch/llm-python/ray-project-ray/ranked_matches.csv"
"llm","python","topic:llm language:python stars:>=1000","microsoft/unilm","3","1968.96","./runs/2026-05-02-batch/llm-python/microsoft-unilm","30","0","./runs/2026-05-02-batch/llm-python/microsoft-unilm/30_Matches.csv","./runs/2026-05-02-batch/llm-python/microsoft-unilm/ranked_matches.csv"
"llm","javascript","topic:llm language:javascript stars:>=1000","Mintplex-Labs/anything-llm","1","1947.56","./runs/2026-05-02-batch/llm-javascript/mintplex-labs-anything-llm","30","1","./runs/2026-05-02-batch/llm-javascript/mintplex-labs-anything-llm/30_Matches.csv","./runs/2026-05-02-batch/llm-javascript/mintplex-labs-anything-llm/ranked_matches.csv"
"llm","javascript","topic:llm language:javascript stars:>=1000","affaan-m/everything-claude-code","2","1870","./runs/2026-05-02-batch/llm-javascript/affaan-m-everything-claude-code","30","9","./runs/2026-05-02-batch/llm-javascript/affaan-m-everything-claude-code/30_Matches.csv","./runs/2026-05-02-batch/llm-javascript/affaan-m-everything-claude-code/ranked_matches.csv"
"llm","javascript","topic:llm language:javascript stars:>=1000","alexpinel/Dot","3","1865.39","./runs/2026-05-02-batch/llm-javascript/alexpinel-dot","30","0","./runs/2026-05-02-batch/llm-javascript/alexpinel-dot/30_Matches.csv","./runs/2026-05-02-batch/llm-javascript/alexpinel-dot/ranked_matches.csv"
"llm","java","topic:llm language:java stars:>=1000","jeecgboot/JeecgBoot","1","1986.49","./runs/2026-05-02-batch/llm-java/jeecgboot-jeecgboot","30","7","./runs/2026-05-02-batch/llm-java/jeecgboot-jeecgboot/30_Matches.csv","./runs/2026-05-02-batch/llm-java/jeecgboot-jeecgboot/ranked_matches.csv"
"llm","java","topic:llm language:java stars:>=1000","haifengl/smile","2","1984.22","./runs/2026-05-02-batch/llm-java/haifengl-smile","30","0","./runs/2026-05-02-batch/llm-java/haifengl-smile/30_Matches.csv","./runs/2026-05-02-batch/llm-java/haifengl-smile/ranked_matches.csv"
"llm","java","topic:llm language:java stars:>=1000","lealone/Lealone","3","1962.45","./runs/2026-05-02-batch/llm-java/lealone-lealone","30","9","./runs/2026-05-02-batch/llm-java/lealone-lealone/30_Matches.csv","./runs/2026-05-02-batch/llm-java/lealone-lealone/ranked_matches.csv"
